Patent Number,Title,Unique Identifier,
CN105271287-A; CN105271287-B,"Preparing beta-zeolite by using modified diatomite without organic template condition comprises e.g. dissolving sodium hydroxide in water, and adding diatomite and modified beta-zeolite crystal seed under stirring condition.",DIIDW:201608779L,
MY203842-A,"Synthesis of ionic liquid matrix membrane used for separation of carbon dioxide/methane, involves stirring mixture of a zeolite and ionic liquid, adding polymer in portion, stirring solution overnight, ultrasonically processing, casting on glass plate to form membrane, and drying.",DIIDW:2025009408,
CN116514137-A,"Synthesis of beta-zeolite molecular sieve used in e.g. petroleum refining, involves mixing silica-alumina gel, seed crystal which is beta zeolite molecular sieve seed crystal, ammonia and water to obtain gel, and crystallizing.",DIIDW:202392560K,
CN117361562-A,"Synthesis of high content framework iron zeolite socony mobil molecular sieve used in catalytic cracking and fuel oil lowering pour point, involves mixing prepared reaction mixture with organic iron source, and synthesizing molecular sieve by one-step hydrothermal crystallization method.",DIIDW:202407528U,
US2019382275-A1; WO2019239333-A1; US10640389-B2; CN111542494-A; KR2021020071-A; EP3807218-A1; JP2021526496-W; CN111542494-B; EP3807218-B1; KR2691604-B1,"Synthesis of molecular sieve of MRE framework-type used as catalyst for dewaxing paraffin-containing feedstock, involves providing reaction mixture comprising zeolite, structure directing agent and water, and subjecting reaction mixture.",DIIDW:2019A58683,
JP2002211917-A,New zeolite useful as catalysts and adsorbents has at least one structural unit of a specific formula in the skeleton.,DIIDW:2002677760,
CN111514928-A; CN111514928-B,"Catalyst for preparing ethylbenzene by one-step method of synthesis gas and benzene, is a multi-metal bifunctional catalyst as the main catalyst, and the H-zeolite Socony Mobil-5 molecular sieve is used as the carrier.",DIIDW:2020787596,
WO2005028104-A1; KR2005029258-A; EP1663483-A1; CN1856360-A; JP2007505734-W; KR599251-B1; US2007117709-A1; US7417004-B2; CN100503041-C; JP4814096-B2; EP1663483-A4,"Catalyst for synthesis of dimethyl ether via dehydration of methanol comprises hydrophobic zeolite with proton, cations comprising alkali metal, alkaline earth metal or ammonium, and binders comprising alumina, silica or silica-alumina.",DIIDW:2005284951,
CN106986354-A; CN106986354-B,"Synthesis of SSZ-13 zeolite containing trivalent and tetravalent elements in specific mol ratio used for removing nitrogen oxide, involves hydrothermally treating alkali and alkaline earth metal source, and oxide sources.",DIIDW:201753611R,
WO2021107801-A1; RO134950-A1; RO134950-B1; EP4065276-A1,Manufacturing metal-containing zeolite catalysts for use in biomass pyrolysis processes and other carbon-containing materials by carrying out microwave application and ultrasonic application to reaction mixture and separating the product.,DIIDW:202159803U,
KR2019099817-A; KR2061961-B1,"Synthesizing chabazite type zeolite, comprises mixing a base zeolite including silicon and aluminum, a structural inducer, a complexing material and water to induce structure of chabazite zeolite, and hydrothermally synthesizing mixture.",DIIDW:201975372H,
KR2021039125-A,"Producing catalyst for silane synthesis, involves preparing material includes zeolite, element selected from Group 1 or Group 2 of the periodic table, or solvent, obtaining reactant by ion-exchanging material and passing by reactor.",DIIDW:202138447Q,
WO2014096249-A1; TW201429942-A; CA2894285-A1; KR2015096523-A; SG11201504645-A1; EP2935173-A1; US2015329466-A1; CN104995160-A; IN201505290-P1; JP2016504328-W; US9469591-B2; BR112015014967-A2; RU2015129636-A; GC6575-A; ID201702747-A; RU2686701-C2; IN329386-B; CN104995160-B,"Integrated process used for production of methyl acetate and methanol, involves supplying synthesis gas and dimethyl ether to carbonylation zone, and contacting recovered synthesis gas and other synthesis gas with catalyst.",DIIDW:2014M25087,
JP2007083121-A,"Zeolite catalyst for isoparaffin olefin alkylation, consists of beta-zeolite containing preset amount of lanthanum with respect to silicon atom, and is synthesized by dry gel method.",DIIDW:2007337384,
ID201901781-S,"Raw material composition and binary catalyst useful for synthesis of diethyl carbonate, comprises butylene oxide and ethanol, and catalyst comprising potassium iodide and sodium ethoxide or zeolite.",DIIDW:202030313H,
US2010248316-A1; CH700599-A2; ZA201001962-A; CH700599-B1,"Cyclodehydration of 1,4- or 1,5-diol used for synthesizing (-)-ambrafuran comprises exposing 1,4- or 1,5-diol to activated zeolite that is prepared from inactive sodium Y or calcium Y type zeolite by ion exchange with ammonium salt.",DIIDW:2010M64041,
KR2023132993-A; KR2636156-B1,"Producing zeolite from waste aluminum dust comprises dry melting waste aluminum dust by adding carbon, separating melt i.e. reduced iron, copper, and slag i.e. silica and alumina, hydrothermal synthesis by adding sodium hydroxide to slag.",DIIDW:202399099W,
FR2909666-A1; WO2008090268-A1; EP2094631-A1; CA2671862-A1; US2010010272-A1; JP2010511680-W; JP5657892-B2; CA2671862-C; US9073837-B2; EP2094631-B1,"Preparing dimethyl ether by catalytic dehydration of methanol using zeolite immobilized on a silicon carbide support, useful as a precursor for synthesis of various compounds e.g. low molecular weight olefins and as gas propellant.",DIIDW:2008J44398,
CN108409573-A,"Synthesizing methylglycolated dimer comprises e.g. preparing method of composite solid catalyst with distinct acid active site and alkali metal-modified solid molecular sieve catalyst activity, aims at controlling solid acid properties.",DIIDW:2018659215,
CN112919487-A; CN112919487-B,"Preparing silicon-alkali metal binary uniformly embedded mixture used for preparing ultra-small nanocrystals of zeolite molecular sieve, involves adding solvent to dense silicon source material, and then wrapping alkali metal source.",DIIDW:2021656699,
WO2016208734-A1; JP2017007915-A,"Manufacture of zeolite for manufacturing catalyst, involves synthesizing zeolite having preset average particle diameter using raw material composition containing silicon source, refining zeolite, and carrying out hydration process.",DIIDW:201700019L,
CN104368379-A,"Preparation of catalyst used for synthesizing alkylbenzene includes performing ionic exchange of zeolite and ammonium salt solution, mixing in nitrogen-containing organic base and organic silicon, and performing modification treatment.",DIIDW:2015239219,
CN110078095-A,"Synthesis of all-silicon ZSM-39 zeolite by seed crystal guiding method comprises taking silicon source, alkali source and ethanol, mixing with all-silicon zeolite ZSM-39 seed crystal, mortar grinding, crystallization reacting and filtering.",DIIDW:201969240C,
CN109046297-A,"Preparation of modified fly ash sodium-based zeolite used for removing anion in wastewater, involves using fly ash and sodium hydroxide solution, synthesizing fly ash sodium-based zeolite and adding cetyltrimethylammonium bromide solution.",DIIDW:201901089S,
US11827855-B1; WO2024011029-A1,"Converting crude oil to light olefins, aromatics, or both used for polymer synthesis, involves contacting crude oil with fluidized catalytic cracking catalyst composition in fluidized catalytic cracking system, and contacting causes portion of hydrocarbons in crude oil to undergo cracking reactions.",DIIDW:2023C32899,
JP2020185563-A; JP6848149-B2,"Manufacturing zeolite film by placing synthetic gel in continuous reactor, hydrothermally synthesizing zeolite on support body surface, moving support body while immersing in synthetic gel, and forming zeolite film on support body surface.",DIIDW:2020B4887N,
WO2014135661-A1; TW201446731-A; CA2903938-A1; KR2015126850-A; EP2964604-A1; SG11201507097-A1; US2016016155-A1; CN105339343-A; JP2016515039-W; IN201507899-P1; BR112015021850-A2; RU2015142614-A; CN105339343-B; ID201700857-A; GC7098-A; US2018304245-A1; US10207260-B2; RU2696266-C2; US10583426-B2,"Catalyst used for producing e.g. methyl acetate, comprises zeolite containing channel(s) and having micropore volume below preset value.",DIIDW:2014R06052,
WO2013147261-A1; KR2015005529-A; US2015328626-A1; JP2014508232-X; KR1663121-B1; JP6029654-B2; US9687827-B2,"Silicate-coated MFI-type zeolite used as raw material for preparing e.g. terephthalic acid, is obtained by coating MFI-type zeolite with silicate, and exhibits X-ray diffraction spectrum in which peak area ratio is in specific range.",DIIDW:2013Q08185,
WO200074847-A1; AU200051312-A; BR200011679-A; EP1189697-A1; US6613708-B1; MX2001012623-A1; CN1505546-A; WO200074847-A8,"Modification of catalysts, e.g. zeolite catalyst, useful for synthesis of para-substituted dialkylbenzenes by contacting with agent, e.g. organometallic salt.",DIIDW:2001112127,
WO2014066626-A1; TW201431840-A; CA2889511-A1; CN104736520-A; US2015239841-A1; EP2912018-A1; IN201502427-P1; JP2015535254-W; RU2015119458-A; US9598366-B2; US2017157599-A1; TW598335-B1; JP6322198-B2; RU2671215-C2; US10137439-B2; US2019091667-A1; US10618039-B2; IN359749-B; EP2912018-B1; CN113429337-A; CA2889511-C; SA5476-B1; SA515360260-A,"Base synthesis process for making pyridine or its alkyl pyridine derivatives, involves reacting 2-5C aldehyde/3-5C ketone, with ammonia, in the gas phase and in presence of particulate catalyst comprising zeolite.",DIIDW:2014H87355,
CN119320143-A,"New hollow Y zeolite synthesized by treating Y zeolite in presence of organic amine vapor, washing, separating, drying and obtaining material A, uniformly mixing material A, inorganic base, aluminum source, silicon source and water, washing, separating, drying and roasting after reaction.",DIIDW:202511050S,
KR2024025371-A,"Manufacturing synthetic zeolite using sludge generated in water purification/sewage treatment plant, comprises mixing silica powder or alumina powder with sludge, heating, maturing, synthesizing zeolite, filtering, washing, and drying.",DIIDW:2024220010,
CN112875717-A,"Solvent-free method for synthesizing titanium silicalite zeolite with adjustable size, involves adding pure silica zeolite crystals, titanium source to continue grinding, performing crystallization reaction, filtering, drying, and calcining.",DIIDW:202164850L,
KR2023146736-A; KR2751431-B1,"Quantum dots containing sodium metal halide compound having excellent moisture stability used for display devices i.e. television, PC, mobile and signage, comprise perovskite-like composition introduced into non-skeletal position of zeolite.",DIIDW:2023B0384X,
CN119551685-A,"Synthesis of MFI-type heteroatom zeolite molecular sieve nanosheets used in e.g. catalysis, involves stirring silicon source, solid metal salt, alkali, template agent and deionized water, aging, filtering, adding MFI-type zeolite molecular sieve seed crystals, mixing, and hydrothermally reacting.",DIIDW:2025255079,
CN101121143-A; CN100506384-C,"Catalyst used in synthesis gas for preparing dimethyl ether comprises copper based on copper oxide, zinc based on zinc oxide, aluminum based on aluminum oxide, zirconium based on zirconium oxide, and aluminosilicate zeolite molecular sieve.",DIIDW:2008K08913,
WO2007077646-A1; JP2009066462-A,"Manufacture of composite film for separation of specific components, involves contacting porous support having zeolite microparticles, with synthetic solution containing raw material of zeolite, and forming zeolite crystal film.",DIIDW:2007708462,
JP2014122142-A,"Transition metal-containing zeolite used for catalyst e.g. preferential reduction catalyst of nitrogen oxide, and adsorbent, has specified electrical conductivity of immersion water when immersing zeolite in specified amount of water.",DIIDW:2014M38816,
EP1400502-A2; EP1400502-A3,"Preparation of 2,6-dimethylnaphthalene used as intermediate in synthesis of 2,6-naphthalenedicarboxylic acid for polyethylnaphthalene, by subjecting 1,6 and/or 1,5-dimethyl-naphthalenes to isomerization in the presence of zeolite.",DIIDW:2004318510,
FR2952380-A1; WO2011058242-A1; US2011120910-A1; FR2952380-B1; ZA201202597-A; US8679323-B2,Making middle distillates from paraffin charge produced by Fischer-Tropsch synthesis comprises implementing hydrocracking catalyst comprising hydrodehydrogenating metal having e.g. group VIB and support comprising dealuminated zeolite Y.,DIIDW:2011F07711,
CN118681591-A,"Core-shell nano-crystalline aluminosilicate zeolite doped-crystalline aluminosilicate zeolite molecular sieve catalyst used as acid catalyst, is microporous crystalline aluminosilicate zeolite as core and low-silicon nano crystalline aluminosilicate zeolite as shell.",DIIDW:2024A3995X,
CN102040233-A; CN102040233-B,"Synthesis of boron beta zeolite comprises adding template agent tetraethylammonium hydroxide and silicon source into sodium hydroxide, adding boron source to prepare glue, and heating under hydrothermal synthesis.",DIIDW:2011G30381,
JP2018020936-A,Manufacture of zeolite by hydrothermal synthesis of filter cloth filled with aluminoborosilicate glass together with alkaline solution in reaction container.,DIIDW:201812291W,
WO200132559-A1; US6357678-B1,"Preparation of ultra-finely divided zeolite powder, useful in the production of detergent powder compositions, involves micronizing the particulate zeolite to a specified particle size.",DIIDW:2001417591,
CN110372000-A; CN110372000-B,"Synthesizing multi-stage pore structure zeolite nanosheet, comprises mixing organic quaternary ammonium salt, an alkali source and deionized water, adding into solution A, hydrothermally reacting , drying and roasting.",DIIDW:2019902839,
WO2021040915-A1; CN114364637-A; KR2022054831-A; EP4021850-A1; US2022340436-A1; JP2022546705-W; JP7333468-B2; CN114364637-B; US12037255-B2; KR2691228-B1; US2024317594-A1; US12398043-B2,Synthesizing zeolite for composition by heating aqueous reaction mixture comprising silicon source and boron source and/or aluminum source in the presence of a structure directing agent.,DIIDW:2021221936,
WO2019235754-A1; KR2019139397-A; KR2078604-B1; CN112292349-A; EP3778485-A1; US2021155489-A1; JP2021526118-W; EP3778485-A4; JP7116194-B2; US11542171-B2; EP3778485-B1; CN112292349-B; ES2948197-T3; SA13864-B1; SA520420581-A,"Manufacture of ZSM-5 zeolite used in production of light olefins, involves preparing reaction mother liquor by mixing solution comprising salt with solution comprising heated mixture containing crystalline ZSM-5 nucleus, and crystallizing.",DIIDW:2019A4777V,
WO2019003126-A1; PL422053-A1; PL235544-B1,"Preparation of zeolite catalyst used in selective catalytic reduction reaction, involves synthesizing zeolite, contacting zeolite with metal particles, conducting ion exchange of zeolites in ultrasonic field, and calcining catalyst.",DIIDW:201902336F,
JP2005262189-A; JP4506251-B2,"Separation membrane has zeolite film formed at surface of porous support material, and has preset ratio relating content of zeolite crystal at preset depth from surface of zeolite film.",DIIDW:2005679030,
WO2023007113-A1; GB2609739-A; CN117769460-A; EP4377006-A1,"Production of catalyst composition used for catalytic reduction of nitrogen oxides, involves introducing rare earth metals into precursor zeolite by ion exchange and calcinations, and converting obtained precursor into zeolite in presence of structure directing agent.",DIIDW:202315560N,
US2018057364-A1; US10414664-B2,"Production of zeotype material used as e.g. catalyst, involves providing zeolite having framework, dealuminating zeolite, contacting with polar aprotic solvent and precursor comprising heteroatoms, and heating to incorporate heteroatoms.",DIIDW:201816681D,
CN119657214-A,"Dual zeolite system composite catalyst useful in synthesizing liquefied petroleum gas, comprises methanol synthesis catalyst and two molecular sieves having different product tendencies.",DIIDW:202531245M,
CN106986355-A,"Direct synthesis of zeolite molecular sieve, involves heating and reacting natural mineral clay, hydroxide, fluoride, organic template, structure guiding agent powder, and aqueous ammonia, cooling, filtering, washing, and drying.",DIIDW:201753611Q,
CN104941451-A,"Synthesis of Linde type A sodium form zeolite film includes grinding micron level mesoporous zeolite crystal, formulating into crystal water dispersion liquid, centrifugally separating micron grade crystal, and water dispersing.",DIIDW:201569151H,
US2022379270-A1,"Method for fabricating zeolite membrane on substrate involves forming primary layer and secondary layer of zeolite crystals on substrate, to form membrane precursor, where secondary zeolite crystals have smaller average diameter than primary zeolite crystals, heating precursor at preset conditions.",DIIDW:2022E8748P,
WO2019000264-A1; EP3645489-A1; EP3645489-A4,"Manufacturing ethylene glycol which is used as raw material in the production of polyester and as antifreeze agent, involves using a reaction mixture comprising ethylene oxide, Ti-MWW zeolite and water.",DIIDW:201902193B,
FR2917645-A1; FR2917645-B1,"Use of modified zeolite for molecular decontamination and as molecular trap, where decontamination is molecular decontamination in aerospace field, in massive form as compacted/extruded powder, or in a form of film deposited on substrate.",DIIDW:2009A84785,
CN104874418-A; CN104874418-B,"Preparation of zeolite socony mobil-5 molecular sieve catalyst used in synthesis of xylene from coking benzene and methanol, involves molding extruded mixture containing catalyst, impregnating in solution containing zinc, and baking.",DIIDW:201565506Y,
WO2016166245-A1; ES2586775-A1; ES2586775-B1; CA2982224-A1; IN201717040159-A; CN107635920-A; EP3283437-A1; KR2018030771-A; US2018093895-A1; JP2018517659-W; BR112017022001-A2; RU2017139760-A; US10526208-B2,"Synthesis of crystalline material used for e.g. converting organic feed into value-added products, involves crystallizing mixture containing silicon oxide, aluminum oxide, cyclic ammonium cation, and metal cation source.",DIIDW:201665094S,
CN102451755-A; CN102451755-B,"Preparation of molecular sieve composition used for catalytic cracking catalyst for synthesizing low carbon olefin, by mixing organic amine solution with zeolite having MFI structure, and mixing with beta-zeolite.",DIIDW:2012G60422,
JP2012211273-A; JP5482709-B2,"Manufacturing gasoline base material involves using metals showing activity to Fischer-Tropsch reaction, manganese carbonate, zeolite showing solid acid, and catalyst composition containing zeolite for manufacturing hydrocarbon.",DIIDW:2012P01417,
CN109796426-A,"Catalyzing decarboxylation coupling reaction of cinnamic acid by adding oxidizing agent to substituted cinnamic acid, tetrahydrofuran and alkaline zeolite, and performing decarboxylation coupling reaction to synthesize styryl furan product.",DIIDW:201947434A,
CN114669321-A,"Preparing cobalt-containing zeolite catalyst, involves introducing cobalt ions, metal cobalt particles and cobalt oxide particles into zeolite molecular sieve.",DIIDW:2022884523,
US2025162888-A1,"Synthesizing zeolite involves forming homogeneous aqueous mixture of silica source, alumina source, alkali metal source, optional structure directing agent, water and water-soluble oxidized disulfide oil, and heating mixture for time effective to form precipitate suspended in supernatant as zeolite.",DIIDW:2025542902,
CN108579465-A; CN108579465-B,"Preparation of zeolite membrane involves immersing pretreated carrier into resin, drying to obtain carrier with modified layer, adding b-oriented seed layer, immersing crystal synthesis liquid and carrier into seed layer, and calcining.",DIIDW:201879799Q,
WO2019068135-A1; AR113341-A1,"Synthesizing zeolites used as molecular sieves or adsorbents, involves addition of predominantly alumina-silicate starting material to stoichiometric excess of sodium hydroxide, with additional water, and calcining.",DIIDW:201933075L,
CN110872127-A; CN110872127-B,"Preparing nano-flaky zeolite socony mobil (ZSM)-5 molecular sieve comprises mixing e.g. aluminum source, seed crystal, water and template agent, stirring, adjusting alkalinity to synthesize mother liquor, aging and crystallizing.",DIIDW:202021370J,
WO2003104148-A1; EP1512666-A1; US2005152834-A1; JP2004511222-X; US6998104-B2; JP4134031-B2; EP1512666-A4,"Mesoporous zeolite synthesis for catalysts and adsorbents comprises mixing carbon aerogel with silicate and aluminum sources, and performing hydrothermal reaction in aqueous solution containing reaction promoter.",DIIDW:2004053603,
JP2014051472-A; JP5988243-B2,"Manufacture of hydrocarbon for liquefied petroleum gas, involves contacting mixed catalyst of methanol synthesis catalyst and hydrocarbon synthesis catalyst with mixture of carbon dioxide and hydrogen, and performing gas phase reaction.",DIIDW:2014E88417,
CN109694091-A; CN109694091-B,"Synthesis of IWR/CDO co-crystallized zeolite molecular sieve used e.g. as gas adsorbent by mixing oxide of skeleton tetravalent element, oxide skeleton trivalent element, organic template choline and water, crystallizing, washing and drying.",DIIDW:2019417642,
WO9928029-A1; AU9917567-A; BE1011577-A3; ZA9810841-A; EP1035914-A1; BR9815411-A; JP2001524379-W; US2002091277-A1; US6699812-B2; US2004167342-A1; IN9803542-I1; BR9815411-B1; US7863211-B2; JP4610081-B2; IN242434-B; EP1035914-B1; ES2402844-T3; EP1035914-B2; ES2402844-T5,Epoxidation catalyst used in the synthesis of oxiranes.,DIIDW:1999404805,
JP2014058433-A; JP6056310-B2,"Separation of ammonia involves separating ammonia from gaseous mixture containing components containing ammonia, hydrogen, and/or nitrogen using a zeolite film which is formed on porous substrate.",DIIDW:2014F64741,
JP2001089408-A,"Manufacture of dihydroxy diphenyl ether useful for organic synthesis intermediate, involves dehydrating dihydroxy benzene in presence of high silica modernite or Y-type zeolite having preset silica/alumina ratio.",DIIDW:2001445312,
CN101077481-A; CN100551530-C,"Preparation of bi-microporous zeolite by synthesizing beta reacting mixture as material for synthesizing gamma zeolite, reacting and crystallizing via adding aluminum source, adjusting alkalinity and adding with supporting agent.",DIIDW:2008E28246,
US2023330645-A1,"Synthesizing faujasite zeolite involves forming homogeneous aqueous mixture of silica source, aluminum source, alkali metal source, water and effective amount of water-soluble oxidized disulfide oil (ODSO), heating homogeneous aqueous mixture under conditions for time effective.",DIIDW:2023A8498M,
WO9928030-A1; AU9914358-A; BE1011578-A3; ZA9810842-A,Epoxidation catalyst used in the synthesis of oxiranes.,DIIDW:1999404806,
KR2025049469-A; KR2805602-B1,Manufacturing core-shell structure used in electrodes for supercapacitor involves synthesizing zeolite imidazolate framework on surface of polyaniline-coated carbon cloth and electrodepositing nickel-cobalt-manganese phosphate nanosheets.,DIIDW:202536832U,
WO2008026635-A1; JP2008532089-X; JP5390857-B2,"Fluidized catalytic cracking of Fischer Tropsch synthesis product for producing fuel, involves treating raw material oil containing hydrocarbon separated from synthesis product, with catalyst containing zeolite, at preset conditions.",DIIDW:2008F36536,
CN101186311-A; CN101186311-B,Preparation of Y/MCM-48 catalytic composite molecular sieves with micropore Y zeolite phase and mesoporous MCM-48 phase using crystal attachment growth method.,DIIDW:2008N24937,
CN102627290-A; CN102627290-B,"Titanium-silicon zeolite having mesoporous structure used as catalyst for oxidative desulfurization of dibenzothiophene compound comprises tetraethyl orthosilicate, tetrabutyl titanate, and surface active agent DM-2130.",DIIDW:2012P95467,
KR2021040657-A,"Producing zeolite as separator, adsorbent and catalyst in various fields, comprises e.g. dissolving structure-inducing material and complexing material in water and impregnating structure-inducing material solution into a zeolite precursor.",DIIDW:202140284U,
CN101940943-A; CN101940943-B,"Shape-selective alkylation catalyst useful for synthesizing p-cymene, obtained by alkylation of toluene with propylene.",DIIDW:2011C51292,
WO2016190237-A1; JP2016215152-A; JP6558947-B2,"Manufacture of zeolite used for manufacturing honeycomb catalyst, involves synthesizing zeolite using starting material composition comprising silica sol as silicon source, aluminum source, alkali source, and structure-directing agent.",DIIDW:2016738876,
CN111592011-A,"Synthesizing SSZ-13 zeolite molecular sieve involves using tetraethyl ammonium hydroxide as organic template, dissolving aluminum source, sodium hydroxide and tetraethylammonium hydroxide as organic template in water.",DIIDW:202085781Y,
KR2022069444-A; KR2508990-B1,"Metal supported catalyst useful for selective catalytic reduction reaction comprises metal supported on seed-based zeolite, where seed-based zeolite is formed using seed zeolite.",DIIDW:202274002L,
WO2016177924-A1; ES2589059-A1; ES2589059-B1; CA2985128-A1; IN201717041201-A; CN107750232-A; EP3293149-A1; KR2018023890-A; US2018127282-A1; JP2018514497-W; BR112017023663-A2; HK1249889-A0; ZA201707109-A; US10676367-B2; EP3293149-B1; CN107750232-B,"Direct synthesis of material with chabazite-zeolite structure in silicoaluminate form containing copper atoms, involves preparing mixture containing e.g. water source, copper source, and polyamine, and crystallizing mixture in reactor.",DIIDW:2016699653,
WO2023162854-A1,"Zeolite film composite material used as absorption film, comprises porous support, and zeolite film, has preset molar ratio of silicon to aluminum which is increased from interface between substrate and support and becomes smaller toward surface on side opposite to support.",DIIDW:202390630J,
WO9941191-A1; AU9925233-A; ES2145693-A1; ES2145693-B1,Synthesis of zeolites from fly ash.,DIIDW:1999508605,
CN118324157-A,"In-situ synthesis of silicoaluminophosphate-18 zeolite molecular sieve from kaolin, comprises e.g. activating kaolin, adding triethylamine into water, supplementing aluminum (boehmite) and phosphorus source (concentrated phosphoric acid), hydrothermally crystallizing initial gel and calcining.",DIIDW:202477907D,
KR2016020317-A; KR1603610-B1,"Use of nano-porous sponge or sheet-type zeolite catalyst in preparation of p-xylene using 2,5-dimethylfuran and ethylene.",DIIDW:201616070A,
CN111762796-A,"Preparation of zeolite with BEA structure used for removing volatile organic compound molecular pollution in humid gasses by adding activated carclazyte and sodium hydroxide with BEA zeolite crystal seed, and hydrothermally reacting.",DIIDW:2020A20025,
US2024174522-A1; WO2024112535-A1; CN120265577-A; KR2025111362-A; EP4622922-A1; JP2025536730-W,"Synthesizing aluminosilicate molecular sieve of SWY framework topology, involves preparing reaction mixture comprises e.g., aluminosilicate zeolite of FAU framework topology, and heating reaction mixture to obtain aluminosilicate molecular sieve of SWY framework topology.",DIIDW:202455104Y,
JP2015044162-A; JP6213062-B2,"Separation or concentration of gas e.g. natural gas, involves contacting gas mixture with separation membrane including zeolite film containing zeolite with pore structure including oxygen-containing ring, and porous support.",DIIDW:201520687J,
WO200279205-A1; US2002143175-A1; US6524446-B2; EP1373274-A1; AU2001258722-A1; JP2004527523-W; EP1373274-B1; DE60112617-E; DE60112617-T2,"Synthesis of tetraarylporphyrin, comprises reacting corresponding pyrrole and aldehyde in solvent-free system under microwave radiation in presence of zeolite molecular sieve catalyst.",DIIDW:2002750647,
US2012027673-A1; US8951498-B2,"Making nanocrystalline zeolites e.g. ZSM-5 involves contacting solvent, silicon and aluminum source, single organic template, to produce zeolite gel by hydrolysis followed by adjusting pH, heating, separating, washing, drying and calcining.",DIIDW:2012B52888,
JP2020018960-A; JP7030641-B2,"Manufacture of catalyst for manufacturing hydrocarbon by Fischer-Tropsch synthesis, involves hydrothermally treating catalyst in which ZSM-5 zeolite formed on catalyst having cobalt supported on silica carrier, with acidic aqueous solution.",DIIDW:202010937N,
CN105329914-A; CN105329914-B,Preparing micro-mesoporous complex ZSM-5 zeolite comprises ammonium exchange of framework comprising boron and sodium type microporous ZSM-5 zeolite and hydrothermally treating ammonia type microporous ZSM-5 zeolite.,DIIDW:2016130923,
US2005158237-A1,Enhancing yield of molecular sieve zeolite e.g. zeolite A involves adding source of aluminum to sodium aluminosilicate reaction mixture at intermediate stage of crystallization.,DIIDW:2005532094,
WO2022158588-A1; JP2022576768-X; CN116745033-A; EP4282823-A1; IN202317047544-A; US2024058801-A1,"Producing beta zeolite as catalytically active component and adsorbent, involves contacting beta zeolite matrix powder, which is synthesized without using organic structure-directing agent, with aqueous alkaline solution.",DIIDW:2022956434,
