Title,Source,DOI
Tandem Reactions over Zeolite-Based Catalysts in Syngas Conversion,FRONTIERS IN CHEMISTRY,10.3389/fchem.2022.1050363
Hierarchical Zeolite Single-Crystal Reactor for Excellent Catalytic Efficiency,ACS CENTRAL SCIENCE,10.1021/acscentsci.2c00434
What Is the Smallest Zeolite That Could Be Synthesized?,MATTER,10.1016/j.matt.2020.07.016
Effect of Low Zeolite Doses on Plants and Soil Physicochemical Properties,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202205095
"Trapping of Ag<SUP>+</SUP>, Cu<SUP>2+</SUP>, and Co<SUP>2+</SUP> by faujasite zeolite Y: New interpretations of the adsorption mechanism via DFT and statistical modeling investigation",MATERIALS,10.3390/ma14102617
High-performance MFI zeolite hollow fiber membranes synthesized by double-layer seeding with variable temperature secondary growth,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2020.127712
Unravelling Channel Structure-Diffusivity Relationships in Zeolite ZSM-5 at the Single-Molecule Level,JOURNAL OF MEMBRANE SCIENCE,10.1016/j.memsci.2020.118573
Zeolite synthesis from industrial wastes,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202114388
Tailoring the Luminescence Properties of Silver Clusters Confined in Faujasite Zeolite through Framework Modification,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2019.06.009
Study of the Sorption Properties of Natural Zeolite in Relation to Indium(III) and Gallium(III) Cations on the Model Systems,MATERIALS,10.3390/ma15217431
Cellulose Nanofibrils as a Damping Material for the Production of Highly Crystalline Nanosized Zeolite Y via Ball Milling,CRYSTALS,10.3390/cryst12091220
Catalytic intermediate pyrolysis of post-extraction rapeseed meal by reusing ZSM-5 and Zeolite Y catalysts,MATERIALS,10.3390/ma15062258
Tunability of ammonia adsorption over NaP zeolite,CATALYSIS TODAY,10.1016/j.cattod.2021.10.023
"Preparation, characterization, and desalination study of polystyrene membrane integrated with zeolite using the electrospinning method",MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2021.111288
Time-resolved dissolution elucidates the mechanism of zeolite MFI crystallization,HELIYON,10.1016/j.heliyon.2022.e10113
Efficient synthesis of high-silica SSZ-13 zeolite and its catalytic performance in MTO reaction,SCIENCE ADVANCES,10.1126/sciadv.abg0454
Repurposing Templates for Zeolite Synthesis from Simulations and Data Mining,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2022.112260
Investigation of nickel-impregnated zeolite catalysts for hydrogen/syngas production from the catalytic reforming of waste polyethylene,CHEMISTRY OF MATERIALS,10.1021/acs.chemmater.2c00064
Novel Strategy for the Synthesis of Ultra-Stable Single-Site Mo-ZSM-5 Zeolite Nanocrystals,APPLIED CATALYSIS B-ENVIRONMENTAL,10.1016/j.apcatb.2018.01.050
Impact of the Spatial Organization of Bifunctional Metal-Zeolite Catalysts on the Hydroisomerization of Light Alkanes,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202006524
Adsorption removal of ammonium from aqueous solution using Mg/Al layered double hydroxides-zeolite composite,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.201915080
β-Zeolite-Assisted Lignin-First Fractionation in a Flow-Through Reactor**,ENVIRONMENTAL TECHNOLOGY & INNOVATION,10.1016/j.eti.2021.102244
A Machine Learning Approach to Zeolite Synthesis Enabled by Automatic Literature Data Extraction,CHEMSUSCHEM,10.1002/cssc.202101157
Influence of zeolite addition on mechanical performance and shrinkage of high strength Engineered Cementitious Composites,ACS CENTRAL SCIENCE,10.1021/acscentsci.9b00193
MFI vs. FER zeolite during methanol dehydration to dimethyl ether: The crystal size plays a key role,JOURNAL OF BUILDING ENGINEERING,10.1016/j.jobe.2020.102124
"Ammonium adsorption, desorption and recovery by acid and alkaline treated zeolite",CATALYSIS COMMUNICATIONS,10.1016/j.catcom.2020.106214
Synthesis and Structure of a 22 x 12 x 12 Extra-Large Pore Zeolite ITQ-56 Determined by 3D Electron Diffraction,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2021.125812
Raman Spectroscopic Characteristics of Zeolite Group Minerals,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,10.1021/jacs.1c02654
<i>In Vitro</i> and <i>In Vivo</i> Assessment of Dietary Supplementation of Both Natural or Nano-Zeolite in Goat Diets: Effects on Ruminal Fermentation and Nutrients Digestibility,MINERALS,10.3390/min11020167
"Nitrogen, Phosphorus, and Potassium Adsorption and Desorption Improvement and Soil Buffering Capacity Using Clinoptilolite Zeolite",ANIMALS,10.3390/ani11082215
Optimisation of zeolite LTA synthesis from alum sludge and the influence of the sludge source,AGRONOMY-BASEL,10.3390/agronomy11020379
Synthesis of zeolite from fly ash and its adsorption of phosphorus in wastewater,JOURNAL OF ENVIRONMENTAL SCIENCES,10.1016/j.jes.2020.06.019
"Top-Down Synthesis of NaP Zeolite from Natural Zeolite for the Higher Removal Efficiency of Cs, Sr, and Ni",GREEN PROCESSING AND SYNTHESIS,10.1515/gps-2021-0032
Vibrational Spectra of Zeolite Y as a Function of Ion Exchange,MINERALS,10.3390/min11030252
TiO<sub>2</sub>-Zeolite Metal Composites for Photocatalytic Degradation of Organic Pollutants in Water,MOLECULES,10.3390/molecules26020342
Super-ions of sodium cations with hydrated hydroxide anions: inorganic structure-directing agents in zeolite synthesis,CATALYSTS,10.3390/catal11111367
Fabricating Mechanically Robust Binder-Free Structured Zeolites by 3D Printing Coupled with Zeolite Soldering: A Superior Configuration for CO<sub>2</sub> Capture,MATERIALS HORIZONS,10.1039/d1mh00733e
Conversion of jet biofuel range hydrocarbons from palm oil over zeolite hybrid catalyst,ADVANCED SCIENCE,10.1002/advs.201901317
Characterization and cracking performance of zirconium-modified Y zeolite,NANOMATERIALS AND NANOTECHNOLOGY,10.1177/1847980420981536
The inner heterogeneity of ZSM-5 zeolite crystals,CATALYSIS COMMUNICATIONS,10.1016/j.catcom.2020.106171
Evaluation of the Impact of Different Natural Zeolite Treatments on the Capacity of Eliminating/Reducing Odors and Toxic Compounds,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/d0ta11023j
Zeolite-containing photocatalysts immobilized on aluminum support by plasma electrolytic oxidation,MATERIALS,10.3390/ma14133724
Modified Zeolite/Polysulfone Mixed Matrix Membrane for Enhanced CO<sub>2</sub>/CH<sub>4</sub> Separation,SURFACES AND INTERFACES,10.1016/j.surfin.2021.101307
Red Room-Temperature Phosphorescence of CDs@Zeolite Composites Triggered by Heteroatoms in Zeolite Frameworks,MEMBRANES,10.3390/membranes11080630
Zeolite to improve strength-shrinkage performance of high-strength engineered cementitious composite,ACS CENTRAL SCIENCE,10.1021/acscentsci.8b00844
Predicting adsorption isotherms of organic micropollutants by high-silica zeolite mixtures,CONSTRUCTION AND BUILDING MATERIALS,10.1016/j.conbuildmat.2019.117335
Controllable Preparation of Cubic Zeolite A and Application of Langmuir Model in Carbon Dioxide Adsorption,SEPARATION AND PURIFICATION TECHNOLOGY,10.1016/j.seppur.2021.120009
Aromatization of ethylene over zeolite-based catalysts,NANOMATERIALS,10.3390/nano11123375
Identifying Order and Disorder in Double Four-Membered Rings via Raman Spectroscopy during Crystallization of LTA Zeolite,CATALYSIS SCIENCE & TECHNOLOGY,10.1039/c9cy02108f
Strategic Synthesis to Disperse Zeolite NaY in Lead Tree Wood,CHEMISTRY OF MATERIALS,10.1021/acs.chemmater.1c01420
Synthesis of mesoporous ZSM-5 zeolite encapsulated in an ultrathin protective shell of silicalite-1 for MTH conversion,CRYSTALS,10.3390/cryst12040504
Organic-Free Synthesis of Zeolite Y with High Si/Al Ratios: Combined Strategy of In Situ Hydroxyl Radical Assistance and Post-Synthesis Treatment,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2019.109730
Pd-modified beta zeolite for modulated hydro-cracking of low-density polyethylene into a paraffinic-rich hydrocarbon fuel,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202005715
Antibacterial Activity of Propolis-Embedded Zeolite Nanocomposites for Implant Application,APPLIED CATALYSIS B-ENVIRONMENTAL,10.1016/j.apcatb.2020.119070
Influence of Nanoscale Intimacy and Zeolite Micropore Size on the Performance of Bifunctional Catalysts for <i>n</i>-Heptane Hydroisomerization,MATERIALS,10.3390/ma14051193
Impact of the crystal size of beta zeolite on the structural quality of zeolite templated carbons,ACS CATALYSIS,10.1021/acscatal.0c03138
Recycling Rusty Iron with Natural Zeolite Heulandite to Create a Unique Nanocatalyst for Green Hydrogen Production,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2021.111644
Titanosilicate zeolite precursors for highly efficient oxidation reactions,NANOMATERIALS,10.3390/nano11123445
Elucidating Zeolite Channel Geometry-Reaction Intermediate Relationships for the Methanol-to-Hydrocarbon Process,CHEMICAL SCIENCE,10.1039/d0sc04603e
Effects of Thermal Treatment on Natural Clinoptilolite-Rich Zeolite Behavior in Simulated Biological Fluids,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202009139
Defect-engineered zeolite porosity and accessibility,MOLECULES,10.3390/molecules25112570
Unraveling the Diffusion Properties of Zeolite-Based Multicomponent Catalyst by Combined Gravimetric Analysis and IR Spectroscopy (AGIR),JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c9ta11465c
Zeolite-Polymer Composite Materials as Water Scavenger,ACS CATALYSIS,10.1021/acscatal.0c01021
Effects of the zeolite concentration on the microstructure of high internal phase emulsions stabilized by surfactant-coated zeolite particles,MOLECULES,10.3390/molecules26164815
Interzeolitic Transformation of Clinoptilolite into GIS and LTA Zeolite,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,10.1016/j.colsurfa.2021.126853
Hydrothermal Synthesis and Characterization of Zeolite A from Corn (Zea Mays) Stover Ash,MINERALS,10.3390/min11121313
Geopolymer/Zeolite composite materials with adsorptive and photocatalytic properties for dye removal,MATERIALS,10.3390/ma14174915
Core-Shell Metal Zeolite Composite Catalysts for In Situ Processing of Fischer-Tropsch Hydrocarbons to Gasoline Type Fuels,PLOS ONE,10.1371/journal.pone.0241603
Effect of zeolite amount on the properties of Pt/(AlSBA-15+Beta zeolite) micro-mesoporous catalysts for the hydroisomerization of n-heptane,ACS CATALYSIS,10.1021/acscatal.9b04421
Removal of Ammonium from Swine Wastewater Using Synthesized Zeolite from Fly Ash,FUEL,10.1016/j.fuel.2020.118607
Modular Pd/Zeolite Composites Demonstrating the Key Role of Support Hydrophobic/Hydrophilic Character in Methane Catalytic Combustion,SUSTAINABILITY,10.3390/su12083423
Investigation of Ni/Fe/Mg zeolite-supported catalysts in steam reforming of tar using simulated-toluene as model compound,ACS CATALYSIS,10.1021/acscatal.9b00596
Enhancement of exchangeable Cd and Pb immobilization in contaminated soil using Mg/Al LDH-zeolite as an effective adsorbent,FUEL,10.1016/j.fuel.2017.09.051
Synthesis and Characterization of Trimetallic Fe-Co-V/Zeolite and Fe-Co-Mo/Zeolite Composite Nanostructures,RSC ADVANCES,10.1039/d0ra10530a
Exfoliation of surfactant swollen layered MWW zeolites into two-dimensional zeolite nanosheets using telechelic liquid polybutadiene,MATERIALS RESEARCH-IBERO-AMERICAN JOURNAL OF MATERIALS,10.1590/1980-5373-MR-2020-0292
Fe<sub>3</sub>O<sub>4</sub>/SO<sub>3</sub>H@zeolite-Y as a novel multi-functional and magnetic nanocatalyst for clean and soft synthesis of imidazole and perimidine derivatives,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2021.110883
Catalytic performance of Cu- and Zr-modified beta zeolite catalysts in the methylation of 2-methylnaphthalene,RSC ADVANCES,10.1039/c9ra02910a
Recent Progress to Understand and Improve Zeolite Stability in the Aqueous Medium,PETROLEUM SCIENCE,10.1007/s12182-018-0278-2
Fast and efficient synthesis of SSZ-13 by interzeolite conversion of Zeolite Beta and Zeolite L,PETROLEUM CHEMISTRY,10.1134/S0965544120040143
Zeolite as a Potential Medium for Ammonium Recovery and Second Cheese Whey Treatment,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2019.02.021
Metal-zeolite catalysts for the removal of pharmaceutical pollutants in water by catalytic ozonation,WATER,10.3390/w11010136
Development of Chitosan/Silver Sulfadiazine/Zeolite Composite Films for Wound Dressing,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,10.1016/j.jece.2021.106458
Synthesis of Zeolite 4A from Kaolin and Its Adsorption Equilibrium of Carbon Dioxide,PHARMACEUTICS,10.3390/pharmaceutics11100535
Advances and challenges in zeolite synthesis and catalysis,MATERIALS,10.3390/ma12091536
Antimicrobial effect of silver nanoparticles plated natural zeolite in polyurethane foam,CATALYSIS TODAY,10.1016/j.cattod.2019.10.021
Effect of dealumination on the catalytic performance of Cr-containing Beta zeolite in carbon dioxide assisted propane dehydrogenation,EXPRESS POLYMER LETTERS,10.3144/expresspolymlett.2021.68
Zeolite-Supported Ni Catalysts for CO<sub>2</sub>Methanation: Effect of Zeolite Structure and Si/Al Ratio,JOURNAL OF CO2 UTILIZATION,10.1016/j.jcou.2019.09.018
Steam-Induced Coarsening of Single-Unit-Cell MFI Zeolite Nanosheets and Its Effect on External Surface Bronsted Acid Catalysis,APPLIED SCIENCES-BASEL,10.3390/app10155131
Cellulose nanocrystals (CNCs) as hard templates for preparing mesoporous zeolite Y assemblies with high catalytic activity,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202000395
Comparison of MIL-101(Cr) metal-organic framework and 13X zeolite monoliths for CO<sub>2</sub> capture,GREEN CHEMISTRY,10.1039/d0gc01070g
Construction of Inverse Metal-Zeolite Interfaces via Area-Selective Atomic Layer Deposition,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2020.110525
Syntheses of MTT-Type Zeolites with the Presence of Both Octyltrimethylammonium Chloride and SFE-Type Zeolite Seeds,ACS APPLIED MATERIALS & INTERFACES,10.1021/acsami.1c15569
Unpredicted photocatalytic activity of clinoptilolite-mordenite natural zeolite,ACS OMEGA,10.1021/acsomega.1c03810
Green Synthesis of Zeolite/Fe<sub>2</sub>O<sub>3</sub> Nanocomposites: Toxicity & Cell Proliferation Assays and Application as a Smart Iron Nanofertilizer,RSC ADVANCES,10.1039/d0ra06421a
Mixed Matrix Membranes prepared from polysulfone and Linde Type A zeolite,INTERNATIONAL JOURNAL OF NANOMEDICINE,10.2147/IJN.S231679
Generating carbon schwarzites via zeolite-templating,SCIENCE AND ENGINEERING OF COMPOSITE MATERIALS,10.1515/secm-2020-0022
Enhanced adsorption of methylene blue from textile wastewater by using natural and artificial zeolite,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.1805062115
Kinetics and Equilibrium Studies for the Removal of Mn and Fe from Binary Metal Solution Systems Using a Romanian Thermally Activated Natural Zeolite,WATER SCIENCE AND TECHNOLOGY,10.2166/wst.2020.358
Towards the preparation of binderless ZSM-5 zeolite catalysts: the crucial role of silanol nests,WATER,10.3390/w12061614
Use of a Copper- and Zinc-Modified Natural Zeolite to Improve Ethylene Removal and Postharvest Quality of Tomato Fruit,CATALYSIS SCIENCE & TECHNOLOGY,10.1039/D0CY01289K
Effect of Zeolite on Shrinkage and Crack Resistance of High-Performance Cement-Based Concrete,CRYSTALS,10.3390/cryst10060471
Core-shell Fe<sub>3</sub>O<sub>4</sub>@zeolite NaA as an Adsorbent for Cu<SUP>2+</SUP>,MATERIALS,10.3390/ma13173773
Comparative Study of Mercury(II) Removal from Aqueous Solutions onto Natural and Iron-Modified Clinoptilolite Rich Zeolite,MATERIALS,10.3390/ma13215047
Thermodynamic rules for zeolite formation from machine learning based global optimization,PROCESSES,10.3390/pr8111523
CO<sub>2</sub>hydrogenation using bifunctional catalysts based on K-promoted iron oxide and zeolite: influence of the zeolite structure and crystal size,CHEMICAL SCIENCE,10.1039/d0sc03918g
Thermal degradation of poly(lactic acid)-zeolite composites produced by melt-blending,CATALYSIS SCIENCE & TECHNOLOGY,10.1039/d0cy00712a
"CHA-Type Zeolite Prepared by Interzeolite Conversion Method Using FAU and LTL-Type Zeolite: Effect of the Raw Materials on the Crystallization Mechanism, and Physicochemical and Catalytic Properties",POLYMER BULLETIN,10.1007/s00289-019-02846-4
3D Raman Spectroscopy of Large Zeolite ZSM-5 Crystals,CATALYSTS,10.3390/catal10101204
Revealing Lattice Expansion of Small-Pore Zeolite Catalysts during the Methanol-to-Olefins Process Using Combined Operando X-ray Diffraction and UV-vis Spectroscopy,CHEMISTRY-A EUROPEAN JOURNAL,10.1002/chem.201805664
Effects of zeolite particle size and internal grain boundaries on Pt/Beta catalyzed isomerization of <i>n</i>-pentane,ACS CATALYSIS,10.1021/acscatal.7b04129
Interzeolite conversion of a micronsized FAU to a nanosized CHA zeolite free of organic structure directing agent with a high CO<sub>2</sub> capacity,JOURNAL OF CATALYSIS,10.1016/j.jcat.2018.01.033
Effect of synthesis parameters on the formation 4A zeolite crystals: characterization analysis and heavy metals uptake performance study for water treatment,RSC ADVANCES,10.1039/d0ra04937a
A Comparison Study of Functional Groups (Amine vs. Thiol) for Immobilizing AuNPs on Zeolite Surface,DESALINATION AND WATER TREATMENT,10.5004/dwt.2019.24566
Predicting the Mechanical Properties of Zeolite Frameworks by Machine Learning,NANOMATERIALS,10.3390/nano9071034
Comparative Study of Zeolite L Etching with Ammonium Fluoride and Ammonium Bifluoride Solutions,CHEMISTRY OF MATERIALS,10.1021/acs.chemmater.7b02532
Crystallization of AEI and AFX zeolites through zeolite-to-zeolite transformations,ADVANCED MATERIALS INTERFACES,10.1002/admi.202000348
Functionalized zeolite-solvent catalytic systems for microwave-assisted dehydration of fructose to 5-hydroxymethylfurfural,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2018.11.002
Modified Alkali Activated Zeolite Foams with Improved Textural and Mechanical Properties,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2019.04.022
Hydrothermal synthesis of magnetic zeolite P from fly ash and its properties,MINERALS,10.3390/min10050483
Synthesis of FAU-Type Zeolite Membranes with Antimicrobial Activity,MATERIALS RESEARCH EXPRESS,10.1088/2053-1591/ab609c
CO<sub>2</sub> Adsorption/Desorption in FAU Zeolite Nanocrystals: In Situ Synchrotron X-ray Powder Diffraction and in Situ Fourier Transform Infrared Spectroscopic Study,MOLECULES,10.3390/molecules25153414
Ion exchange capacity of zeolite A with zinc nitrate and its antimicrobial activity,JOURNAL OF PHYSICAL CHEMISTRY C,10.1021/acs.jpcc.8b11811
Cobalt-containing BEA zeolite for catalytic combustion of toluene,PURE AND APPLIED CHEMISTRY,10.1515/pac-2019-0811
Ce-modified zeolite BEA catalysts for the trichloroethylene oxidation. The role of the different and necessary active sites,APPLIED CATALYSIS B-ENVIRONMENTAL,10.1016/j.apcatb.2017.04.067
Spectroscopic IR and NMR studies of hierarchical zeolites obtained by desilication of zeolite Y: Optimization of the desilication route,APPLIED CATALYSIS B-ENVIRONMENTAL,10.1016/j.apcatb.2019.118022
The influence of zeolite morphology on the conversion of methane to methanol on copper- exchanged omega zeolite ( MAZ),MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2019.03.004
Adsorption of acid blue 25 from aqueous solution using zeolite and surfactant modified zeolite,CATALYSIS SCIENCE & TECHNOLOGY,10.1039/c9cy00013e
"Different zeolite systems for colon cancer therapy: monitoring of ion release, cytotoxicity and drug release behavior",DESALINATION AND WATER TREATMENT,10.5004/dwt.2019.23726
Quantification of rhenium oxide dispersion on zeolite: Effect of zeolite acidity and mesoporosity,PROGRESS IN BIOMATERIALS,10.1007/s40204-019-0115-8
Trimodal Porous Hierarchical SSZ-13 Zeolite with Improved Catalytic Performance in the Methanol-to-Olefins Reaction,JOURNAL OF CATALYSIS,10.1016/j.jcat.2019.02.024
Synthesis of Zeolite A from Metakaolin and Its Application in the Adsorption of Cationic Dyes,ACS CATALYSIS,10.1021/acscatal.5b02480
Synthesis of X-Zeolite from Waste Basalt Powder and its Influencing Factors and Synthesis Mechanism,APPLIED SCIENCES-BASEL,10.3390/app8040608
IR and NMR Studies of the Status of Al and Acid Sites in Desilicated Zeolite Y,MATERIALS,10.3390/ma12233895
Zeolite RHO Synthesis Accelerated by Ultrasonic Irradiation Treatment,MOLECULES,10.3390/molecules25010031
Bacterial and Fungal Community Dynamics and Shaping Factors During Agricultural Waste Composting with Zeolite and Biochar Addition,SCIENTIFIC REPORTS,10.1038/s41598-019-51460-x
Chemical Imaging of the Binder-Dependent Coke Formation in Zeolite-Based Catalyst Bodies During the Transalkylation of Aromatics,SUSTAINABILITY,10.3390/su12177082
Direct synthesis of the organic and Ge free Al containing BOG zeolite (ITQ-47) and its application for transformation of biomass derived molecules,CHEMCATCHEM,10.1002/cctc.201900777
Exploring the impact of zeolite porous voids in liquid phase reactions: The case of glycerol etherification by <i>tert</i>-butyl alcohol,CHEMICAL SCIENCE,10.1039/d0sc04044d
"Fluoride ion adsorption from wastewater using magnesium(II), aluminum(III) and titanium(IV) modified natural zeolite: kinetics, thermodynamics, and mechanistic aspects of adsorption",JOURNAL OF CATALYSIS,10.1016/j.jcat.2018.07.009
Formation of EMT/FAU intergrowth and nanosized SOD zeolites from synthesis gel of zeolite NaX containing ethanol,JOURNAL OF WATER REUSE AND DESALINATION,10.2166/wrd.2017.037
Synthesis and characterisation of zeolite LTA with sheet structure,MATERIALS RESEARCH EXPRESS,10.1088/2053-1591/aba55a
From powder to extrudate zeolite-based bifunctional hydroisomerization catalysts: on preserving zeolite integrity and optimizing Pt location,MICRO & NANO LETTERS,10.1049/mnl.2019.0793
"Design of Co, Cu and Fe-BEA Zeolite Catalysts for Selective Conversion of Lactic Acid into Acrylic Acid",JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,10.1016/j.jiec.2017.12.046
Study on the Synthesized Rosin Glyceride over LaZSM-5 Zeolite Catalyst Synthesized by the in Situ Method,CATALYSIS LETTERS,10.1007/s10562-019-02883-8
Design of organic structure directing agents for polymorph A zeolite beta,ACS OMEGA,10.1021/acsomega.0c03427
Molecular simulation and experimental investigation of CO<sub>2</sub> capture in a polymetallic cation-exchanged 13X zeolite,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c8ta11913a
Chloride Diffusion and Acid Resistance of Concrete Containing Zeolite and Tuff as Partial Replacements of Cement and Sand,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c8ta05647a
Lights and Shadows of Gold Introduction into Beta Zeolite,MATERIALS,10.3390/ma10040372
Understanding the seeding mechanism of hierarchically porous zeolite/carbon composites,MOLECULES,10.3390/molecules25245781
